"","Session_ID","Video_ID","Colour_code","Condition","Sat_ID","Fm_ID","Time","Date","Date2","Week","Combo_lek_week","Combo_lek","Female_max_id","Total_visit_duration_all_females","Total_visit_nr_all_females","Visit_occurrence","Total_nr_display","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Female_mount_max_id","Mount_nr","Female_max_crouching_id","Crouching_nr","Copulation_attempt","Copulation_nr","Total_successful_copulations","Co.display_total_nr_session","Total_copulation_nr","Co.display_total_duration_s_session","Co_disp_ord","Co_displ_occurrence","Co_disp_session","Single_display_total_duration_s_session","Single_display_to_satellite_total_nr_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Lek_codisplay_nr","Lek_codisplay_dur_s","Lek_codisplay_occ","Cop_session","Lek_hierarchy","Copulation_occurrence_successful","Copulation_occurrence","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Single_display_to_satellite_duration_mean_s_session","Single_display_to_satellite_duration_std_dev_session","Single_display_to_both_duration_mean_s_session","Single_display_to_both_duration_std_dev_session","Paired_state_duration_mean_s_session","Paired_state_duration_std_dev_session","Visits_longest_s","Session_nr"
"341","603_Fm1_m_Marginal","Lek1_2021_603_m","RG|LbDb","Marginal",NA,"Fm1","m",603,29,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"342","603_Fm1_m_Marginal","Lek1_2021_603_m","XO|XX","Marginal",NA,"Fm1","m",603,29,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"343","603_Fm2_a_Satellite","Lek3_2021_603_a","BlW|PP","Satellite",NA,"Fm2","a",603,29,"7a","1_Lek3_7a","1_Lek3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"344","603_Fm2_a_Satellite","Lek3_2021_603_a","GLb|GY","Satellite",NA,"Fm2","a",603,29,"7a","1_Lek3_7a","1_Lek3",1,20.523,2,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,44,0,1524,1,1,1,263,0,0,0,1,1799.898,0,0,0,0,1,0,0,10.76,5.51,NA,NA,NA,NA,1799.9,NA,14.2,1
"345","603_Fm2_a_Satellite","Lek3_2021_603_a","GO|LbY","Satellite",NA,"Fm2","a",603,29,"7a","1_Lek3_7a","1_Lek3",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"346","603_Fm2_m_Satellite","Lek3_2021_603_m","BlW|PP","Satellite",NA,"Fm2","m",603,29,"7m","1_Lek3_7m","1_Lek3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"347","603_Fm2_m_Satellite","Lek3_2021_603_m","GLb|GY","Satellite",NA,"Fm2","m",603,29,"7m","1_Lek3_7m","1_Lek3",1,59.668,3,1,6,0,0,0,0,2,0,1,2,1,7,4,2,2,73,2,1463,1,1,1,314,0,0,0,1,1794.762,16,917.04,1,2,1,1,1,9.22,8.72,NA,NA,NA,NA,1794.76,NA,24.4,1
"348","603_Fm2_m_Satellite","Lek3_2021_603_m","GO|LbY","Satellite",NA,"Fm2","m",603,29,"7m","1_Lek3_7m","1_Lek3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"349","604_Fm1_a_Marginal","Lek1_2021_604_a","DbLb|LbY","Marginal",NA,"Fm1","a",604,30,"7a","1_Lek1_7a","1_Lek1",1,231.36,10,1,6,0,0,0,0,11,0,2,3,2,17,14,11,11,0,11,0,NA,0,0,1637,0,0,0,0,0,0,0,0,1,1,1,1,25.97,19.84,NA,NA,NA,NA,NA,NA,94.5,1
"350","604_Fm1_a_Marginal","Lek1_2021_604_a","RG|LbDb","Marginal",NA,"Fm1","a",604,30,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
