"","Colour_code","Condition","Week","Fm_ID","Combo_lek_week","Combo_lek","Session_nr","Female_max_id","Total_visit_duration_all_females","Total_visit_nr_all_females","Visits_longest_s","Visit_occurrence","Total_nr_display","Combo_display_rank","Combo_co_disp_rank","Co_disp_score","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Mount_nr","Crouching_nr","Copulation_attempt","Copulation_nr","Total_successful_copulations","Co.display_total_nr_session","Co.display_total_duration_s_session","Co.display_total_duration_s_session2","Single_display_total_duration_s_session","Single_display_to_satellite_total_nr_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Co_displ_occurrence","Copulation_occurrence_successful","Copulation_occurrence","Co_disp_session","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Chasings_total","Chasings_res","Chasings_sat","Chasings_marg","Attacks_total","Attacks_res","Attacks_sat","Attacks_marg","Approaches","Fight_dur_s","Aggression_res_total","Aggression_sat_total","Aggression_total","Aggression_res_attack_approach","Aggression_attack_approach_total","Combo_lek_repeat"
"42","DbLb|RLb","Satellite","4","Fm1","2_Lek1_4","2_Lek1",3,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,507,507,4505,51,6,139.853,12,596.44,3,0,0,3,99.715,114.52,34,34,0,0,0,0,0,0,5,16.16,39,0,39,5,5,1
"43","YO|OO","Satellite","3","Fm2","3_Lek3_3","3_Lek3",3,1,28.729,1,28.7,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,296,296,924,21,2,40.784,7,356.589,2,0,0,3,52.41,57.1,27,25,2,0,2,0,2,0,1,1.44,26,4,30,1,3,1
"44","YO|OO","Marginal","3","Fm2","3_Lek3_3","3_Lek3",3,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0,9,0,0,0,0,2,1.42,17,0,26,2,2,1
"45","YO|OO","Satellite","5","Fm2","3_Lek3_5","3_Lek3",3,1,22.687,1,22.7,1,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,244,244,2161,30,1,61.849,2,39.208,2,0,0,3,101.89,34.9566666666667,20,20,0,0,1,1,0,0,2,4.279,23,0,23,3,3,2
"46","YO|OO","Marginal","5","Fm2","3_Lek3_5","3_Lek3",3,0,0,0,0,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,698,0,0,0,0,0,0,0,0,0,232.82,378.14,7,7,0,0,0,0,0,0,0,0,7,0,7,0,0,2
"47","GO|LbY","Satellite","6","Fm2","2_Lek4_6","2_Lek4",3,0,0,0,0,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,117,117,77,1,0,0,0,0,2,0,0,3,76.9,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,2
"48","GO|LbY","Marginal","6","Fm2","2_Lek4_6","2_Lek4",3,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,6,0,0,0,0,1,3.155,5,0,11,1,1,2
"49","DbLb|OY","Marginal","4","Fm2","2_Lek3_4","2_Lek3",3,0,0,0,0,0,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,12,18.761,19,0,20,12,12,1
"50","DbLb|OY","Satellite","4","Fm2","2_Lek3_4","2_Lek3",3,2,39.066,2,19.5,1,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,100,100,1745,16,0,0,2,77.534,3,0,0,3,44.22,29.7266666666667,12,12,0,0,1,1,0,0,13,22.719,26,0,26,14,14,1
"51","GO|LbY","Satellite","4","Fm2","2_Lek4_4","2_Lek4",3,1,40.456,2,23,1,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,84,84,42,5,0,0,0,0,2,0,0,3,17.535,4.21,6,5,1,0,1,1,0,0,3,3.2,9,1,10,4,4,1
